Year,month,town,,storey_range,floorArea,flat_model,lease_commence_date,remaining_lease month,resale_price,roomTyp,tenure,price,block_loc,block_num
2023,1,BUKIT BATOK,,04 TO 06,47,Model A,2019,1,360000,2,95,7659.574468,BT BATOK WEST AVE 8,445B
2023,1,BUKIT BATOK,,01 TO 03,64,Simplified,1986,11,330000,3,62,5156.25,BT BATOK EAST AVE 4,269
2023,1,BUKIT BATOK,,07 TO 09,82,New Generation,1985,10,413800,3,61,5046.341463,BT BATOK EAST AVE 4,265
2023,1,BUKIT BATOK,,07 TO 09,64,Simplified,1986,9,360000,3,62,5625,BT BATOK EAST AVE 4,272
2023,1,BUKIT BATOK,,10 TO 12,67,New Generation,1985,6,380000,3,61,5671.641791,BT BATOK EAST AVE 5,235
2023,1,BUKIT BATOK,,07 TO 09,82,New Generation,1985,5,405000,3,61,4939.02439,BT BATOK EAST AVE 5,233
2023,1,BUKIT BATOK,,07 TO 09,69,New Generation,1986,0,367500,3,63,5326.086957,BT BATOK EAST AVE 5,238
2023,1,BUKIT BATOK,,01 TO 03,69,New Generation,1985,10,350000,3,61,5072.463768,BT BATOK EAST AVE 5,244
2023,1,BUKIT BATOK,,10 TO 12,67,New Generation,1985,11,360000,3,61,5373.134328,BT BATOK EAST AVE 5,242
2023,1,BUKIT BATOK,,04 TO 06,68,Model A,2019,2,470000,3,95,6911.764706,BT BATOK EAST AVE 6,292A
2023,1,BUKIT BATOK,,04 TO 06,73,Model A,1984,5,350000,3,60,4794.520548,BT BATOK ST 11,160
2023,1,BUKIT BATOK,,04 TO 06,67,New Generation,1984,11,360000,3,60,5373.134328,BT BATOK ST 21,215
2023,1,BUKIT BATOK,,25 TO 27,68,Model A,2019,1,528000,3,95,7764.705882,BT BATOK ST 21,293D
2023,1,BUKIT BATOK,,04 TO 06,68,New Generation,1986,1,360000,3,62,5294.117647,BT BATOK ST 32,316
2023,1,BUKIT BATOK,,10 TO 12,68,New Generation,1986,3,370000,3,62,5441.176471,BT BATOK ST 33,321
2023,1,BUKIT BATOK,,01 TO 03,69,Improved,1987,6,355000,3,63,5144.927536,BT BATOK ST 51,534
2023,1,BUKIT BATOK,,04 TO 06,60,Improved,1987,8,353000,3,63,5883.333333,BT BATOK ST 52,506
2023,1,BUKIT BATOK,,10 TO 12,60,Improved,1987,6,330000,3,63,5500,BT BATOK ST 52,523
2023,1,BUKIT BATOK,,01 TO 03,69,Improved,1987,5,360000,3,63,5217.391304,BT BATOK ST 52,523
2023,1,BUKIT BATOK,,10 TO 12,73,Model A,1987,4,368000,3,63,5041.09589,BT BATOK ST 52,537
2023,1,BUKIT BATOK,,04 TO 06,64,Simplified,1988,9,363000,3,64,5671.875,BT BATOK WEST AVE 4,415
2023,1,BUKIT BATOK,,07 TO 09,73,Model A,1987,9,368000,3,63,5041.09589,BT BATOK WEST AVE 4,414
2023,1,BUKIT BATOK,,04 TO 06,73,Model A,1984,11,370000,3,60,5068.493151,BT BATOK WEST AVE 6,130
2023,1,BUKIT BATOK,,07 TO 09,68,Premium Apartment,2017,7,490000,3,93,7205.882353,BT BATOK WEST AVE 6,194B
2023,1,BUKIT BATOK,,01 TO 03,73,Model A,1984,9,369000,3,60,5054.794521,BT BATOK WEST AVE 6,129
2023,1,BUKIT BATOK,,04 TO 06,73,Model A,1984,2,365000,3,61,5000,BT BATOK WEST AVE 6,131
2023,1,BUKIT BATOK,,04 TO 06,67,New Generation,1984,10,333000,3,60,4970.149254,BT BATOK WEST AVE 8,180
2023,1,BUKIT BATOK,,04 TO 06,102,Model A,1997,7,600000,4,73,5882.352941,BT BATOK CTRL,626
2023,1,BUKIT BATOK,,07 TO 09,101,Model A,1997,5,600000,4,73,5940.594059,BT BATOK CTRL,624
2023,1,BUKIT BATOK,,04 TO 06,93,New Generation,1985,0,493000,4,62,5301.075269,BT BATOK EAST AVE 5,242
2023,1,BUKIT BATOK,,04 TO 06,103,Model A,1985,4,525000,4,61,5097.087379,BT BATOK EAST AVE 5,249
2023,1,BUKIT BATOK,,04 TO 06,96,New Generation,1985,9,485000,4,61,5052.083333,BT BATOK EAST AVE 5,244
2023,1,BUKIT BATOK,,25 TO 27,93,Model A,2019,1,765000,4,95,8225.806452,BT BATOK EAST AVE 6,292B
2023,1,BUKIT BATOK,,13 TO 15,93,Model A,2019,1,680000,4,95,7311.827957,BT BATOK EAST AVE 6,292A
2023,1,BUKIT BATOK,,25 TO 27,93,Model A,2019,1,755000,4,95,8118.27957,BT BATOK EAST AVE 6,292C
2023,1,BUKIT BATOK,,13 TO 15,93,Model A,2019,0,660000,4,95,7096.774194,BT BATOK EAST AVE 6,292A
2023,1,BUKIT BATOK,,10 TO 12,93,Model A,2019,0,650000,4,95,6989.247312,BT BATOK EAST AVE 6,292B
2023,1,BUKIT BATOK,,04 TO 06,93,Model A,2019,2,585000,4,95,6290.322581,BT BATOK ST 21,293D
2023,1,BUKIT BATOK,,07 TO 09,93,Model A,2019,1,670000,4,95,7204.301075,BT BATOK ST 21,293A
